X_Value,Y_Value
-10000.0,-21.544346900318835
-9999.0,-28.543628731482666
-9998.0,-20.54291051476219
-9997.0,-11.542192250149423
-9996.0,-20.54147393763638
-9995.0,-16.540755577215076
-9994.0,-26.540037168877525
-9993.0,-12.539318712615731
-9992.0,-30.538600208421702
-9991.0,-19.537881656287443
-9990.0,-31.537163056204957
-9989.0,-27.536444408166243
-9988.0,-24.535725712163302
-9987.0,-24.535006968188128
-9986.0,-17.534288176232714
-9985.0,-30.533569336289055
-9984.0,-28.532850448349137
-9983.0,-17.53213151240495
-9982.0,-13.531412528448477
-9981.0,-21.530693496471706
-9980.0,-13.529974416466612
-9979.0,-13.52925528842518
-9978.0,-23.52853611233938
-9977.0,-21.527816888201194
-9976.0,-13.527097616002589
-9975.0,-11.52637829573554
-9974.0,-25.52565892739201
-9973.0,-20.524939510963968
-9972.0,-28.52422004644338
-9971.0,-22.523500533822205
-9970.0,-14.522780973092402
-9969.0,-19.52206136424593
-9968.0,-22.521341707274743
-9967.0,-15.520622002170796
-9966.0,-31.51990224892604
-9965.0,-16.519182447532422
-9964.0,-19.51846259798189
-9963.0,-26.51774270026639
-9962.0,-29.517022754377862
-9961.0,-16.516302760308246
-9960.0,-27.515582718049483
-9959.0,-29.514862627593505
-9958.0,-24.51414248893225
-9957.0,-28.51342230205765
-9956.0,-22.512702066961626
-9955.0,-12.511981783636116
-9954.0,-14.51126145207304
-9953.0,-21.51054107226432
-9952.0,-22.50982064420188
-9951.0,-26.509100167877637
-9950.0,-12.508379643283508
-9949.0,-24.507659070411407
-9948.0,-27.506938449253244
-9947.0,-21.50621777980093
-9946.0,-11.505497062046377
-9945.0,-28.504776295981486
-9944.0,-29.50405548159816
-9943.0,-27.503334618888307
-9942.0,-20.502613707843818
-9941.0,-25.501892748456594
-9940.0,-13.50117174071853
-9939.0,-28.500450684621516
-9938.0,-23.499729580157442
-9937.0,-30.499008427318202
-9936.0,-31.49828722609568
-9935.0,-19.497565976481756
-9934.0,-29.496844678468314
-9933.0,-21.496123332047233
-9932.0,-30.495401937210392
-9931.0,-26.494680493949666
-9930.0,-26.493959002256926
-9929.0,-12.493237462124046
-9928.0,-21.49251587354289
-9927.0,-26.491794236505328
-9926.0,-14.491072551003224
-9925.0,-14.490350817028439
-9924.0,-24.489629034572836
-9923.0,-12.488907203628266
-9922.0,-31.488185324186592
-9921.0,-18.48746339623966
-9920.0,-23.486741419779328
-9919.0,-15.486019394797442
-9918.0,-20.48529732128585
-9917.0,-20.484575199236392
-9916.0,-21.483853028640915
-9915.0,-11.48313080949126
-9914.0,-21.48240854177926
-9913.0,-23.481686225496755
-9912.0,-16.48096386063558
-9911.0,-29.480241447187563
-9910.0,-23.47951898514453
-9909.0,-24.478796474498317
-9908.0,-12.478073915240739
-9907.0,-17.477351307363627
-9906.0,-26.476628650858796
-9905.0,-28.475905945718065
-9904.0,-16.47518319193325
-9903.0,-27.47446038949617
-9902.0,-31.47373753839863
-9901.0,-27.473014638632442
-9900.0,-16.47229169018941
-9899.0,-29.471568693061347
-9898.0,-13.470845647240047
-9897.0,-27.470122552717317
-9896.0,-19.46939940948495
-9895.0,-13.468676217534746
-9894.0,-15.467952976858495
-9893.0,-16.467229687447993
-9892.0,-29.466506349295027
-9891.0,-31.465782962391387
-9890.0,-28.465059526728854
-9889.0,-30.464336042299216
-9888.0,-14.463612509094247
-9887.0,-25.462888927105734
-9886.0,-25.462165296325445
-9885.0,-28.461441616745155
-9884.0,-23.46071788835664
-9883.0,-18.45999411115167
-9882.0,-12.459270285122006
-9881.0,-30.45854641025942
-9880.0,-16.45782248655567
-9879.0,-23.457098514002517
-9878.0,-21.456374492591724
-9877.0,-22.455650422315042
-9876.0,-27.45492630316423
-9875.0,-28.454202135131034
-9874.0,-18.45347791820721
-9873.0,-21.452753652384498
-9872.0,-11.45202933765465
-9871.0,-30.451304974009403
-9870.0,-23.4505805614405
-9869.0,-16.44985609993968
-9868.0,-23.44913158949868
-9867.0,-31.448407030109234
-9866.0,-13.447682421763073
-9865.0,-25.446957764451923
-9864.0,-11.446233058167515
-9863.0,-17.445508302901573
-9862.0,-12.444783498645819
-9861.0,-26.444058645391973
-9860.0,-28.443333743131756
-9859.0,-29.442608791856884
-9858.0,-29.441883791559068
-9857.0,-17.44115874223002
-9856.0,-24.440433643861454
-9855.0,-19.439708496445068
-9854.0,-26.438983299972577
-9853.0,-27.438258054435675
-9852.0,-29.437532759826066
-9851.0,-27.43680741613545
-9850.0,-16.43608202335552
-9849.0,-11.435356581477969
-9848.0,-11.434631090494491
-9847.0,-15.433905550396773
-9846.0,-25.433179961176503
-9845.0,-14.432454322825365
-9844.0,-18.431728635335045
-9843.0,-18.431002898697216
-9842.0,-16.430277112903557
-9841.0,-19.429551277945748
-9840.0,-13.428825393815462
-9839.0,-30.428099460504367
-9838.0,-12.427373478004132
-9837.0,-27.426647446306426
-9836.0,-12.425921365402914
-9835.0,-19.42519523528525
-9834.0,-22.424469055945107
-9833.0,-28.42374282737413
-9832.0,-27.42301654956398
-9831.0,-18.42229022250631
-9830.0,-26.421563846192768
-9829.0,-29.42083742061501
-9828.0,-15.42011094576467
-9827.0,-18.419384421633403
-9826.0,-25.418657848212845
-9825.0,-25.417931225494634
-9824.0,-19.417204553470413
-9823.0,-11.416477832131811
-9822.0,-22.415751061470463
-9821.0,-20.415024241478
-9820.0,-12.414297372146052
-9819.0,-24.41357045346624
-9818.0,-16.412843485430187
-9817.0,-22.41211646802952
-9816.0,-27.411389401255853
-9815.0,-27.410662285100805
-9814.0,-18.40993511955599
-9813.0,-23.409207904613016
-9812.0,-29.408480640263498
-9811.0,-26.407753326499044
-9810.0,-18.407025963311256
-9809.0,-20.406298550691737
-9808.0,-19.40557108863209
-9807.0,-26.404843577123913
-9806.0,-16.4041160161588
-9805.0,-18.403388405728347
-9804.0,-23.402660745824143
-9803.0,-27.401933036437782
-9802.0,-26.401205277560845
-9801.0,-18.40047746918492
-9800.0,-15.39974961130159
-9799.0,-20.399021703902434
-9798.0,-19.39829374697903
-9797.0,-28.39756574052295
-9796.0,-22.396837684525774
-9795.0,-26.39610957897907
-9794.0,-28.3953814238744
-9793.0,-17.39465321920334
-9792.0,-30.393924964957453
-9791.0,-14.393196661128297
-9790.0,-15.392468307707432
-9789.0,-12.391739904686414
-9788.0,-23.3910114520568
