X_Value,Y_Value
-10000,-21.46754956
-9999,-21.5260132
-9998,-21.63886085
-9997,-21.6364045
-9996,-21.45220618
-9995,-21.57814493
-9994,-21.71719599
-9993,-21.816957
-9992,-21.79468
-9991,-21.85646688
-9990,-21.71949483
-9989,-21.82886508
-9988,-21.85538674
-9987,-21.99044333
-9986,-22.13671785
-9985,-22.0967307
-9984,-22.20718016
-9983,-22.19672345
-9982,-22.31699415
-9981,-22.37667538
-9980,-22.43466529
-9979,-22.29658991
-9978,-22.28557519
-9977,-22.34241599
-9976,-22.23773141
-9975,-22.13579219
-9974,-22.1663615
-9973,-22.04229158
-9972,-22.16185985
-9971,-22.1159299
-9970,-22.13285349
-9969,-22.05179454
-9968,-22.03292108
-9967,-22.01448839
-9966,-22.00824562
-9965,-21.88586057
-9964,-21.88122319
-9963,-21.89941027
-9962,-21.83852885
-9961,-21.92343677
-9960,-21.94053657
-9959,-21.96812635
-9958,-21.86608278
-9957,-21.81939414
-9956,-21.86841767
-9955,-21.93724567
-9954,-21.88093575
-9953,-21.93801253
-9952,-22.03433298
-9951,-22.0887198
-9950,-22.0331116
-9949,-22.11159894
-9948,-21.96236347
-9947,-22.03094973
-9946,-22.10943693
-9945,-22.03940923
-9944,-22.02878742
-9943,-21.92905665
-9942,-22.09665257
-9941,-22.1058326
-9940,-22.19422049
-9939,-22.18359845
-9938,-22.05416447
-9937,-22.0633443
-9936,-22.07252409
-9935,-22.18071372
-9934,-22.11068549
-9933,-22.01095424
-9932,-21.96072789
-9931,-22.12832328
-9930,-22.07809683
-9929,-22.17638519
-9928,-22.25487152
-9927,-22.24424889
-9926,-22.30293314
-9925,-22.45072625
-9924,-22.5193114
-9923,-22.4789856
-9922,-22.38915481
-9921,-22.40823486
-9920,-22.41741387
-9919,-22.43649382
-9918,-22.4753757
-9917,-22.56376249
-9916,-22.54323833
-9915,-22.48311017
-9914,-22.43288295
-9913,-22.41235865
-9912,-22.27302242
-9911,-22.24259703
-9910,-22.36068645
-9909,-22.37976591
-9908,-22.37904335
-9907,-22.30901381
-9906,-22.26868719
-9905,-22.23826151
-9904,-22.37615261
-9903,-22.50414268
-9902,-22.58262775
-9901,-22.63140979
-9900,-22.53167694
-9899,-22.52105295
-9898,-22.39161703
-9897,-22.27208205
-9896,-22.31096286
-9895,-22.33994264
-9894,-22.24020949
-9893,-22.13057531
-9892,-22.02094108
-9891,-22.0103167
-9890,-21.89078137
-9889,-22.05837472
-9888,-21.89923534
-9887,-21.93811572
-9886,-21.75917426
-9885,-21.63963869
-9884,-21.66861793
-9883,-21.65799316
-9882,-21.71667527
-9881,-21.59713951
-9880,-21.59641559
-9879,-21.62539458
-9878,-21.65437353
-9877,-21.62394648
-9876,-21.61332137
-9875,-21.72150809
-9874,-21.77028882
-9873,-21.64085168
-9872,-21.73913726
-9871,-21.629502
-9870,-21.56937165
-9869,-21.57854817
-9868,-21.58772465
-9867,-21.60680206
-9866,-21.67538438
-9865,-21.73406566
-9864,-21.80264788
-9863,-21.82172511
-9862,-21.88040624
-9861,-21.97869128
-9860,-21.86905549
-9859,-21.83862756
-9858,-21.78839761
-9857,-21.92628642
-9856,-21.91566032
-9855,-21.83572725
-9854,-21.7854971
-9853,-21.89368274
-9852,-21.88305645
-9851,-21.75361824
-9850,-21.63408096
-9849,-21.67295947
-9848,-21.57322408
-9847,-21.72101339
-9846,-21.67078284
-9845,-21.73936413
-9844,-21.88715329
-9843,-21.90622953
-9842,-22.0441176
-9841,-21.89487691
-9840,-21.73573518
-9839,-21.57659341
-9838,-21.50656049
-9837,-21.5652404
-9836,-21.54471233
-9835,-21.4449763
-9834,-21.28583427
-9833,-21.16629616
-9832,-21.15566889
-9831,-21.28365543
