X_Value,Y_Value
-10000,-21.5443469
-9999,-28.54362873
-9998,-20.54291051
-9997,-11.54219225
-9996,-20.54147394
-9995,-16.54075558
-9994,-26.54003717
-9993,-12.53931871
-9992,-30.53860021
-9991,-19.53788166
-9990,-31.53716306
-9989,-27.53644441
-9988,-24.53572571
-9987,-24.53500697
-9986,-17.53428818
-9985,-30.53356934
-9984,-28.53285045
-9983,-17.53213151
-9982,-13.53141253
-9981,-21.5306935
-9980,-13.52997442
-9979,-13.52925529
-9978,-23.52853611
-9977,-21.52781689
-9976,-13.52709762
-9975,-11.5263783
-9974,-25.52565893
-9973,-20.52493951
-9972,-28.52422005
-9971,-22.52350053
-9970,-14.52278097
-9969,-19.52206136
-9968,-22.52134171
-9967,-15.520622
-9966,-31.51990225
-9965,-16.51918245
-9964,-19.5184626
-9963,-26.5177427
-9962,-29.51702275
-9961,-16.51630276
-9960,-27.51558272
-9959,-29.51486263
-9958,-24.51414249
-9957,-28.5134223
-9956,-22.51270207
-9955,-12.51198178
-9954,-14.51126145
-9953,-21.51054107
-9952,-22.50982064
-9951,-26.50910017
-9950,-12.50837964
-9949,-24.50765907
-9948,-27.50693845
-9947,-21.50621778
-9946,-11.50549706
-9945,-28.5047763
-9944,-29.50405548
-9943,-27.50333462
-9942,-20.50261371
-9941,-25.50189275
-9940,-13.50117174
-9939,-28.50045068
-9938,-23.49972958
-9937,-30.49900843
-9936,-31.49828723
-9935,-19.49756598
-9934,-29.49684468
-9933,-21.49612333
-9932,-30.49540194
-9931,-26.49468049
-9930,-26.493959
-9929,-12.49323746
-9928,-21.49251587
-9927,-26.49179424
-9926,-14.49107255
-9925,-14.49035082
-9924,-24.48962903
-9923,-12.4889072
-9922,-31.48818532
-9921,-18.4874634
-9920,-23.48674142
-9919,-15.48601939
-9918,-20.48529732
-9917,-20.4845752
-9916,-21.48385303
-9915,-11.48313081
-9914,-21.48240854
-9913,-23.48168623
-9912,-16.48096386
-9911,-29.48024145
-9910,-23.47951899
-9909,-24.47879647
-9908,-12.47807392
-9907,-17.47735131
-9906,-26.47662865
-9905,-28.47590595
-9904,-16.47518319
-9903,-27.47446039
-9902,-31.47373754
-9901,-27.47301464
-9900,-16.47229169
-9899,-29.47156869
-9898,-13.47084565
-9897,-27.47012255
-9896,-19.46939941
-9895,-13.46867622
-9894,-15.46795298
-9893,-16.46722969
-9892,-29.46650635
-9891,-31.46578296
-9890,-28.46505953
-9889,-30.46433604
-9888,-14.46361251
-9887,-25.46288893
-9886,-25.4621653
-9885,-28.46144162
-9884,-23.46071789
-9883,-18.45999411
-9882,-12.45927029
-9881,-30.45854641
-9880,-16.45782249
-9879,-23.45709851
-9878,-21.45637449
-9877,-22.45565042
-9876,-27.4549263
-9875,-28.45420214
-9874,-18.45347792
-9873,-21.45275365
-9872,-11.45202934
-9871,-30.45130497
-9870,-23.45058056
-9869,-16.4498561
-9868,-23.44913159
-9867,-31.44840703
-9866,-13.44768242
-9865,-25.44695776
-9864,-11.44623306
-9863,-17.4455083
-9862,-12.4447835
-9861,-26.44405865
-9860,-28.44333374
-9859,-29.44260879
-9858,-29.44188379
-9857,-17.44115874
-9856,-24.44043364
-9855,-19.4397085
-9854,-26.4389833
-9853,-27.43825805
-9852,-29.43753276
-9851,-27.43680742
-9850,-16.43608202
-9849,-11.43535658
-9848,-11.43463109
-9847,-15.43390555
-9846,-25.43317996
-9845,-14.43245432
-9844,-18.43172864
-9843,-18.4310029
-9842,-16.43027711
-9841,-19.42955128
-9840,-13.42882539
-9839,-30.42809946
-9838,-12.42737348
-9837,-27.42664745
-9836,-12.42592137
-9835,-19.42519524
-9834,-22.42446906
-9833,-28.42374283
-9832,-27.42301655
-9831,-18.42229022
-9830,-26.42156385
-9829,-29.42083742
-9828,-15.42011095
-9827,-18.41938442
-9826,-25.41865785
-9825,-25.41793123
-9824,-19.41720455
-9823,-11.41647783
-9822,-22.41575106
-9821,-20.41502424
-9820,-12.41429737
-9819,-24.41357045
-9818,-16.41284349
-9817,-22.41211647
-9816,-27.4113894
-9815,-27.41066229
-9814,-18.40993512
-9813,-23.4092079
-9812,-29.40848064
-9811,-26.40775333
-9810,-18.40702596
-9809,-20.40629855
-9808,-19.40557109
-9807,-26.40484358
-9806,-16.40411602
-9805,-18.40338841
-9804,-23.40266075
-9803,-27.40193304
-9802,-26.40120528
-9801,-18.40047747
-9800,-15.39974961
-9799,-20.3990217
-9798,-19.39829375
-9797,-28.39756574
-9796,-22.39683768
-9795,-26.39610958
-9794,-28.39538142
-9793,-17.39465322
-9792,-30.39392496
-9791,-14.39319666
-9790,-15.39246831
-9789,-12.3917399
-9788,-23.39101145
-9787,-20.39028295
-9786,-23.3895544
-9785,-15.3888258
-9784,-12.38809715
-9783,-11.38736844
-9782,-17.38663969
-9781,-25.38591089
-9780,-11.38518204
-9779,-27.38445314
-9778,-21.3837242
-9777,-12.3829952
-9776,-30.38226615
-9775,-28.38153705
-9774,-14.3808079
-9773,-19.3800787
-9772,-15.37934946
-9771,-28.37862016
-9770,-16.37789081
-9769,-23.37716142
-9768,-11.37643197
-9767,-23.37570247
-9766,-22.37497293
-9765,-23.37424333
-9764,-27.37351368
-9763,-26.37278399
-9762,-18.37205424
-9761,-23.37132445
-9760,-30.3705946
-9759,-22.36986471
-9758,-19.36913476
-9757,-17.36840477
-9756,-17.36767472
-9755,-21.36694463
-9754,-15.36621449
-9753,-23.36548429
-9752,-27.36475405
-9751,-25.36402375
-9750,-24.36329341
-9749,-31.36256301
-9748,-30.36183257
-9747,-21.36110208
-9746,-12.36037153
-9745,-14.35964094
-9744,-17.3589103
-9743,-15.3581796
-9742,-19.35744886
-9741,-11.35671806
-9740,-28.35598722
-9739,-18.35525633
-9738,-30.35452538
-9737,-31.35379439
-9736,-21.35306334
-9735,-21.35233225
-9734,-23.35160111
-9733,-22.35086991
-9732,-12.35013867
-9731,-15.34940737
-9730,-26.34867603
-9729,-25.34794463
-9728,-30.34721319
-9727,-28.34648169
-9726,-21.34575015
-9725,-30.34501855
-9724,-17.34428691
-9723,-20.34355521
-9722,-31.34282347
-9721,-22.34209167
-9720,-19.34135983
-9719,-23.34062793
-9718,-12.33989598
-9717,-24.33916399
-9716,-19.33843194
-9715,-26.33769984
-9714,-22.3369677
-9713,-28.3362355
-9712,-12.33550325
-9711,-20.33477095
-9710,-26.33403861
-9709,-19.33330621
-9708,-18.33257376
-9707,-22.33184126
-9706,-14.33110871
-9705,-19.33037611
-9704,-12.32964346
-9703,-24.32891076
-9702,-21.32817801
-9701,-15.32744521
-9700,-16.32671236
-9699,-26.32597945
-9698,-18.3252465
-9697,-23.3245135
-9696,-27.32378045
-9695,-23.32304734
-9694,-20.32231419
-9693,-28.32158098
-9692,-20.32084773
-9691,-16.32011442
-9690,-21.31938107
-9689,-11.31864766
-9688,-21.31791421
-9687,-16.3171807
-9686,-30.31644714
-9685,-27.31571353
-9684,-22.31497987
-9683,-26.31424617
-9682,-29.31351241
-9681,-26.3127786
-9680,-17.31204474
-9679,-18.31131082
-9678,-16.31057686
-9677,-22.30984285
-9676,-15.30910879
-9675,-15.30837467
-9674,-14.30764051
-9673,-15.3069063
-9672,-14.30617203
-9671,-20.30543771
-9670,-30.30470335
-9669,-18.30396893
-9668,-19.30323446
-9667,-21.30249995
-9666,-24.30176538
-9665,-13.30103076
-9664,-15.30029609
-9663,-31.29956137
-9662,-12.29882659
-9661,-28.29809177
-9660,-15.2973569
-9659,-21.29662197
-9658,-19.295887
-9657,-13.29515197
-9656,-27.2944169
-9655,-23.29368177
-9654,-20.29294659
-9653,-19.29221137
-9652,-15.29147609
-9651,-16.29074076
-9650,-21.29000538
-9649,-18.28926995
-9648,-17.28853446
-9647,-20.28779893
-9646,-20.28706335
-9645,-23.28632771
-9644,-22.28559203
-9643,-11.28485629
-9642,-25.2841205
