X_Value,Y_Value
-10000.0,-21.467549558031088
-9999.0,-21.52601320249994
-9998.0,-21.638860848665097
-9997.0,-21.63640449553798
-9996.0,-21.452206178565405
-9995.0,-21.57814493066212
-9994.0,-21.717195992959244
-9993.0,-21.816957003751128
-9992.0,-21.79467999873575
-9991.0,-21.856466877897766
-9990.0,-21.719494826468598
-9989.0,-21.828865082245255
-9988.0,-21.855386740942276
-9987.0,-21.990443329791898
-9986.0,-22.136717851273495
-9985.0,-22.09673070165544
-9984.0,-22.20718016399593
-9983.0,-22.196723445879037
-9982.0,-22.316994148651954
-9981.0,-22.37667538215621
-9980.0,-22.434665292298472
-9979.0,-22.296589905768272
-9978.0,-22.28557519299806
-9977.0,-22.342415990883293
-9976.0,-22.237731411684894
-9975.0,-22.13579219333415
-9974.0,-22.166361502960626
-9973.0,-22.042291576046107
-9972.0,-22.161859851339027
-9971.0,-22.115929895650286
-9970.0,-22.132853494713604
-9969.0,-22.051794542275605
-9968.0,-22.03292108178175
-9967.0,-22.01448839270383
-9966.0,-22.008245623714853
-9965.0,-21.88586056773551
-9964.0,-21.881223188126818
-9963.0,-21.89941026809693
-9962.0,-21.838528847788375
-9961.0,-21.923436765559476
-9960.0,-21.940536570170302
-9959.0,-21.968126351739084
-9958.0,-21.86608277715308
-9957.0,-21.819394144495742
-9956.0,-21.868417665615354
-9955.0,-21.93724566853309
-9954.0,-21.88093574609392
-9953.0,-21.93801252816945
-9952.0,-22.03433298281823
-9951.0,-22.08871979937637
-9950.0,-22.033111600275507
-9949.0,-22.111598944758107
-9948.0,-21.962363468676497
-9947.0,-22.030949726478035
-9946.0,-22.109436926075418
-9945.0,-22.03940922587639
-9944.0,-22.028787417952067
-9943.0,-21.929056650809205
-9942.0,-22.09665256800405
-9941.0,-22.105832595271078
-9940.0,-22.19422049497842
-9939.0,-22.18359844533579
-9938.0,-22.05416446613706
-9937.0,-22.063344299948366
-9936.0,-22.072524085375473
-9935.0,-22.180713723400352
-9934.0,-22.110685491242602
-9933.0,-22.010954240379256
-9932.0,-21.960727891594278
-9931.0,-22.1283232765627
-9930.0,-22.07809683091997
-9929.0,-22.176385188321316
-9928.0,-22.254871517075436
-9927.0,-22.244248886481138
-9926.0,-22.30293313811443
-9925.0,-22.450726252165207
-9924.0,-22.519311396942157
-9923.0,-22.478985602140106
-9922.0,-22.38915480834497
-9921.0,-22.408234857132754
-9920.0,-22.417413867307186
-9919.0,-22.43649381905815
-9918.0,-22.475375702476494
-9917.0,-22.563762487851093
-9916.0,-22.543238333589635
-9915.0,-22.483110170377017
-9914.0,-22.432882948700133
-9913.0,-22.41235864874884
-9912.0,-22.27302241902983
-9911.0,-22.24259703181215
-9910.0,-22.36068644748367
-9909.0,-22.37976591356097
-9908.0,-22.37904335082796
-9907.0,-22.3090138087814
-9906.0,-22.268687188403227
-9905.0,-22.238261509487227
-9904.0,-22.376152613609367
-9903.0,-22.5041426789793
-9902.0,-22.582627745192777
-9901.0,-22.63140979243964
-9900.0,-22.53167693952358
-9899.0,-22.521052948812635
-9898.0,-22.391617028219397
-9897.0,-22.2720820490228
-9896.0,-22.310962862699782
-9895.0,-22.33994263755898
-9894.0,-22.240209492404063
-9893.0,-22.13057530841494
-9892.0,-22.02094107568242
-9891.0,-22.010316695188376
-9890.0,-21.8907813748454
-9889.0,-22.05837471860565
-9888.0,-21.899235340322306
-9887.0,-21.938115715234673
-9886.0,-21.75917425917611
-9885.0,-21.63963869491065
-9884.0,-21.668617933321176
-9883.0,-21.65799316251827
-9882.0,-21.716675273582798
-9881.0,-21.59713951403127
-9880.0,-21.596415586825763
-9879.0,-21.625394581066928
-9878.0,-21.654373526449508
-9877.0,-21.623946482371196
-9876.0,-21.613321369615818
-9875.0,-21.72150808916524
-9874.0,-21.770288819229016
-9873.0,-21.64085167861079
-9872.0,-21.7391372613617
-9871.0,-21.629502003117068
-9870.0,-21.569371646442875
-9869.0,-21.578548171528883
-9868.0,-21.58772464767376
-9867.0,-21.60680206496825
-9866.0,-21.675384383800118
-9865.0,-21.73406566356705
-9864.0,-21.80264788445878
-9863.0,-21.821725105872975
-9862.0,-21.880406238692455
-9861.0,-21.97869128290892
-9860.0,-21.869055486038864
-9859.0,-21.838627560945262
-9858.0,-21.78839760662976
-9857.0,-21.926286415163258
-9856.0,-21.915660323171124
-9855.0,-21.835727251437163
-9854.0,-21.785497100943164
-9853.0,-21.893682742967957
-9852.0,-21.883056454730973
-9851.0,-21.753618236223907
-9850.0,-21.634080958725583
-9849.0,-21.672959473712837
-9848.0,-21.573224078207073
-9847.0,-21.72101338606136
-9846.0,-21.67078284281194
-9845.0,-21.739364131618817
-9844.0,-21.887153292077627
-9843.0,-21.906229532100845
-9842.0,-22.044117604155396
-9841.0,-21.89487691417355
-9840.0,-21.735735184919253
-9839.0,-21.576593406483187
-9838.0,-21.506560489748118
-9837.0,-21.565240395101736
-9836.0,-21.54471233045651
-9835.0,-21.444976295804096
-9834.0,-21.28583427133418
-9833.0,-21.16629615802851
-9832.0,-21.155668886571807
-9831.0,-21.28365542725277
-9830.0,-21.094810235508586
-9829.0,-21.202994697469506
-9828.0,-21.18246623886976
-9827.0,-21.09263080029505
-9826.0,-21.171112144113252
-9825.0,-21.180286507939773
-9824.0,-21.04094597097417
-9823.0,-21.05012023617837
-9822.0,-20.98998752136579
-9821.0,-21.15757752949835
-9820.0,-21.018236795221156
-9819.0,-21.017509872981265
-9818.0,-20.967277950889127
-9817.0,-20.96655092992645
-9816.0,-20.876714948698712
-9815.0,-20.974997729969818
-9814.0,-20.99407254105811
-9813.0,-21.14186017403441
-9812.0,-21.15103389621705
-9811.0,-21.259217469973883
-9810.0,-21.298094063613345
-9809.0,-21.237960706830005
-9808.0,-21.138223340209535
-9807.0,-21.018683943941532
-9806.0,-21.01795637940375
-9805.0,-20.98752579510262
-9804.0,-20.94719417122776
-9803.0,-20.916763487968776
-9802.0,-20.91603572551528
-9801.0,-20.875703953165768
-9800.0,-20.845273121406905
-9799.0,-20.993060061913415
-9798.0,-21.180450913290738
-9797.0,-21.27873280424333
-9796.0,-21.248301774366713
-9795.0,-21.138662774147516
-9794.0,-21.167637585755518
-9793.0,-21.137206407202097
-9792.0,-21.146379139468905
-9791.0,-21.096145881557412
-9790.0,-21.184526435439373
-9789.0,-21.23330297932416
-9788.0,-21.23257452310433
-9787.0,-21.419964829147666
-9786.0,-21.359830333089278
-9785.0,-21.44821063888112
-9784.0,-21.48708594453452
-9783.0,-21.486357240140055
-9782.0,-21.327212644501124
-9781.0,-21.207671959589483
-9780.0,-21.28615102698082
-9779.0,-21.275521133795376
-9778.0,-21.284693171113798
-9777.0,-21.41267703991771
-9776.0,-21.44165095802043
-9775.0,-21.49042680660158
-9774.0,-21.410489734167555
-9773.0,-21.41966152288808
-9772.0,-21.616952073744784
-9771.0,-21.616222772867786
-9770.0,-21.60559243212979
-9769.0,-21.713773922809434
-9768.0,-21.594232591432885
-9767.0,-21.672711012249067
-9766.0,-21.64227849218018
-9765.0,-21.631647902504852
-9764.0,-21.581413302620533
-9763.0,-21.679693504399893
-9762.0,-21.570052864270078
-9761.0,-21.48021415449981
-9760.0,-21.47948430577364
-9759.0,-21.488655397290977
-9758.0,-21.468123468647278
-9757.0,-21.49709644062609
-9756.0,-21.37755451123871
-9755.0,-21.4065273834469
-9754.0,-21.346391294865903
-9753.0,-21.355562087071355
-9752.0,-21.29542589866858
-9751.0,-21.185784709847074
-9750.0,-21.16525238198444
-9749.0,-21.273432875468185
-9748.0,-21.2529004477155
-9747.0,-21.291773910599048
-9746.0,-21.28114237302117
-9745.0,-21.290312765666386
-9744.0,-21.23017617763507
-9743.0,-21.229445480205797
-9742.0,-21.258417703072983
-9741.0,-21.119073044247873
-9740.0,-21.18764912748429
-9739.0,-21.147314269605353
-9738.0,-21.23569223297875
-9737.0,-21.165654304724622
-9736.0,-21.263933158101725
-9735.0,-21.30280602082427
-9734.0,-21.371381803774764
-9733.0,-21.50926446734069
-9732.0,-21.686751041216425
-9731.0,-21.77512865410627
-9730.0,-21.69518938520957
-9729.0,-21.763764917686057
-9728.0,-21.654122578259813
-9727.0,-21.66329206989255
-9726.0,-21.692263491585585
-9725.0,-21.543017041350126
-9724.0,-21.40367153105876
