X_Value,Y_Value
-10000.0,-21.544346900318835
-9999.0,-21.543628731482666
-9998.0,-21.542910514762188
-9997.0,-21.542192250149423
-9996.0,-21.54147393763638
-9995.0,-21.540755577215076
-9994.0,-21.540037168877525
-9993.0,-21.53931871261573
-9992.0,-21.538600208421702
-9991.0,-21.537881656287443
-9990.0,-21.537163056204957
-9989.0,-21.536444408166243
-9988.0,-21.535725712163302
-9987.0,-21.535006968188128
-9986.0,-21.534288176232714
-9985.0,-21.533569336289055
-9984.0,-21.532850448349137
-9983.0,-21.53213151240495
-9982.0,-21.531412528448477
-9981.0,-21.530693496471706
-9980.0,-21.52997441646661
-9979.0,-21.52925528842518
-9978.0,-21.52853611233938
-9977.0,-21.527816888201194
-9976.0,-21.52709761600259
-9975.0,-21.52637829573554
-9974.0,-21.52565892739201
-9973.0,-21.524939510963968
-9972.0,-21.52422004644338
-9971.0,-21.523500533822205
-9970.0,-21.5227809730924
-9969.0,-21.52206136424593
-9968.0,-21.521341707274743
-9967.0,-21.520622002170796
-9966.0,-21.51990224892604
-9965.0,-21.519182447532422
-9964.0,-21.51846259798189
-9963.0,-21.51774270026639
-9962.0,-21.517022754377862
-9961.0,-21.516302760308246
-9960.0,-21.515582718049483
-9959.0,-21.514862627593505
-9958.0,-21.51414248893225
-9957.0,-21.51342230205765
-9956.0,-21.512702066961626
-9955.0,-21.511981783636116
-9954.0,-21.51126145207304
-9953.0,-21.51054107226432
-9952.0,-21.50982064420188
-9951.0,-21.509100167877637
-9950.0,-21.508379643283508
-9949.0,-21.507659070411407
-9948.0,-21.506938449253244
-9947.0,-21.50621777980093
-9946.0,-21.505497062046377
-9945.0,-21.504776295981486
-9944.0,-21.50405548159816
-9943.0,-21.503334618888307
-9942.0,-21.502613707843818
-9941.0,-21.501892748456594
-9940.0,-21.50117174071853
-9939.0,-21.500450684621516
-9938.0,-21.499729580157442
-9937.0,-21.499008427318202
-9936.0,-21.49828722609568
-9935.0,-21.497565976481756
-9934.0,-21.496844678468314
-9933.0,-21.496123332047233
-9932.0,-21.495401937210392
-9931.0,-21.494680493949666
-9930.0,-21.493959002256926
-9929.0,-21.493237462124046
-9928.0,-21.49251587354289
-9927.0,-21.491794236505328
-9926.0,-21.491072551003224
-9925.0,-21.49035081702844
-9924.0,-21.489629034572836
-9923.0,-21.488907203628266
-9922.0,-21.488185324186592
-9921.0,-21.48746339623966
-9920.0,-21.486741419779328
-9919.0,-21.48601939479744
-9918.0,-21.48529732128585
-9917.0,-21.484575199236392
-9916.0,-21.483853028640915
-9915.0,-21.48313080949126
-9914.0,-21.48240854177926
-9913.0,-21.48168622549676
-9912.0,-21.48096386063558
-9911.0,-21.480241447187563
-9910.0,-21.47951898514453
-9909.0,-21.478796474498314
-9908.0,-21.47807391524074
-9907.0,-21.477351307363627
-9906.0,-21.476628650858796
-9905.0,-21.475905945718065
-9904.0,-21.47518319193325
-9903.0,-21.47446038949617
-9902.0,-21.47373753839863
-9901.0,-21.473014638632442
-9900.0,-21.47229169018941
-9899.0,-21.471568693061347
-9898.0,-21.470845647240047
-9897.0,-21.470122552717317
-9896.0,-21.46939940948495
-9895.0,-21.468676217534746
-9894.0,-21.467952976858495
-9893.0,-21.467229687447993
-9892.0,-21.466506349295027
-9891.0,-21.465782962391387
-9890.0,-21.465059526728854
-9889.0,-21.464336042299216
-9888.0,-21.463612509094247
-9887.0,-21.462888927105734
-9886.0,-21.462165296325445
-9885.0,-21.461441616745155
-9884.0,-21.46071788835664
-9883.0,-21.45999411115167
-9882.0,-21.459270285122006
-9881.0,-21.45854641025942
-9880.0,-21.45782248655567
-9879.0,-21.457098514002517
-9878.0,-21.456374492591724
-9877.0,-21.455650422315045
-9876.0,-21.454926303164232
-9875.0,-21.454202135131034
-9874.0,-21.45347791820721
-9873.0,-21.452753652384498
-9872.0,-21.45202933765465
-9871.0,-21.451304974009403
-9870.0,-21.4505805614405
-9869.0,-21.449856099939684
-9868.0,-21.44913158949868
-9867.0,-21.448407030109234
-9866.0,-21.447682421763073
-9865.0,-21.446957764451923
-9864.0,-21.446233058167515
-9863.0,-21.445508302901573
-9862.0,-21.44478349864582
-9861.0,-21.444058645391973
