Date,Open,High,Low,Close,Adj Close,Volume,Moving Average,RSI
2023-04-25,165.190002,166.309998,163.729996,163.770004,162.900497,48714100,162.900497
2023-04-26,163.059998,165.279999,162.800003,163.759995,162.890533,45498800,164.435628
2023-04-27,165.190002,168.559998,165.190002,168.410004,167.515854,64902300,166.1551116
2023-04-28,168.490005,169.850006,167.880005,169.679993,168.779099,55209200,166.4259512857143
2023-05-01,169.279999,170.449997,168.639999,169.589996,168.689575,52472900,166.94887633333335
2023-05-02,170.089996,170.350006,167.539993,168.539993,167.645157,48425700,167.8160650909091
2023-05-03,169.500000,170.919998,167.160004,167.449997,166.560944,65136000,168.57251807692307
2023-05-04,164.889999,167.039993,164.309998,165.789993,164.909760,81235400,168.98180753333332
2023-05-05,170.979996,174.300003,170.759995,173.570007,172.648468,113316400,169.30182429411764
2023-05-08,172.479996,173.850006,172.110001,173.500000,172.578812,55962800,169.8401827368421
2023-05-09,173.050003,173.539993,171.600006,171.770004,170.858017,45326900,170.06492404761906
2023-05-10,173.020004,174.029999,171.899994,173.559998,172.638504,53724500,170.21030534782608
2023-05-11,173.850006,174.589996,172.169998,173.750000,172.827515,49514700,170.64718148
2023-05-12,173.619995,174.059998,171.000000,172.570007,171.891205,45497800,171.18940459259258
2023-05-15,173.160004,173.210007,171.470001,172.070007,171.393173,37266700,171.76640534482758
2023-05-16,171.990005,173.139999,171.800003,172.070007,171.393173,42110300,172.15649612903226
2023-05-17,171.710007,172.929993,170.419998,172.690002,172.010727,57951600,172.63513045454545
2023-05-18,173.000000,175.240005,172.580002,175.050003,174.361435,65496700,173.21757985714285
2023-05-19,176.389999,176.389999,174.940002,175.160004,174.471024,55772400,173.81405554054055
2023-05-22,173.979996,174.710007,173.449997,174.199997,173.514771,43570900,174.3485874102564
2023-05-23,173.130005,173.380005,171.279999,171.559998,170.885162,50747300,174.85599385365853
2023-05-24,171.089996,172.419998,170.520004,171.839996,171.164063,45143500,175.9461376097561
2023-05-25,172.410004,173.899994,171.690002,172.990005,172.309555,56058300,176.91030585365854
2023-05-26,173.320007,175.770004,173.110001,175.429993,174.739929,54835000,178.0253433414634
2023-05-30,176.960007,178.990005,176.570007,177.300003,176.602585,55964400,179.26460336585365
2023-05-31,177.330002,179.350006,176.759995,177.250000,176.552780,99625300,180.1367540487805
2023-06-01,177.699997,180.119995,176.929993,180.089996,179.381607,68901800,180.91021202439023
2023-06-02,181.029999,181.779999,179.259995,180.949997,180.238220,61945900,181.7418052195122
