Date,Open,High,Low,Close,Adj Close,Volume,Moving Average,RSI
2023-04-28,18.920000,19.719999,18.879999,19.290001,19.290001,2835200,19.290001
2023-05-01,19.160000,19.250000,18.459999,18.549999,18.549999,2356600,18.806666666666665
2023-05-02,18.450001,18.580000,18.059999,18.580000,18.580000,1918300,18.934
2023-05-03,18.559999,19.200001,18.530001,18.900000,18.900000,3184000,19.37142857142857
2023-05-04,19.250000,19.480000,18.920000,19.350000,19.350000,2041800,19.622222222222224
2023-05-05,19.620001,20.879999,19.510000,20.420000,20.420000,4353700,19.833636363636362
2023-05-08,20.459999,20.990000,20.090000,20.510000,20.510000,2402800,20.136923153846155
2023-05-09,20.160000,20.650000,20.120001,20.240000,20.240000,1522700,20.5133334
2023-05-10,20.450001,20.959999,20.379999,20.760000,20.760000,2139900,20.821764647058824
2023-05-11,20.690001,21.160000,20.510000,20.879999,20.879999,1652500,21.073684157894736
2023-05-12,20.830000,20.980000,20.230000,20.690001,20.690001,2003900,21.285714238095238
2023-05-15,20.620001,21.629999,20.490000,21.620001,21.620001,2602000,21.799047523809524
2023-05-16,21.500000,22.100000,21.420000,21.990000,21.990000,2498000,22.335237952380954
2023-05-17,21.990000,23.250000,21.900000,22.870001,22.870001,4573000,22.774761761904763
2023-05-18,22.900000,23.299999,22.680000,23.049999,23.049999,2144400,23.098571380952382
2023-05-19,22.940001,22.990000,21.750000,22.059999,22.059999,2665900,23.352857095238097
2023-05-22,22.100000,24.360001,21.990000,24.209999,24.209999,6251600,23.84523804761905
2023-05-23,23.889999,23.900000,22.799999,23.160000,23.160000,3786500,24.06142842857143
2023-05-24,23.129999,23.520000,22.730000,23.270000,23.270000,1901000,24.247142809523808
2023-05-25,23.500000,23.690001,22.709999,23.350000,23.350000,2494400,24.278095285714286
2023-05-26,23.469999,23.709999,23.059999,23.250000,23.250000,2261900,24.277142904761906,68.71345119011018
2023-05-30,23.350000,24.690001,23.299999,24.570000,24.570000,5037800,24.375238142857143,70.4011080502523
2023-05-31,24.510000,24.799999,23.879999,24.049999,24.049999,4265200,24.384762,63.95663468247083
2023-06-01,24.040001,24.660000,23.780001,24.100000,24.100000,3845000,24.42333342857143,59.389306776993415
2023-06-02,24.290001,24.930000,24.280001,24.639999,24.639999,3293100,24.388095380952382,61.50506512301013
2023-06-05,24.530001,25.840000,24.160000,24.309999,24.309999,4201900,24.317619238095237,68.0
2023-06-06,24.010000,25.250000,24.000000,24.690001,24.690001,3984300,24.22333342857143,55.357162786980886
2023-06-07,26.200001,26.549999,25.070000,26.110001,26.110001,18001100,24.100952476190475,80.41236263152827
2023-06-08,20.299999,22.000000,20.100000,21.440001,21.440001,19213300,24.218571476190476,40.27631022009238
2023-06-09,21.780001,23.430000,21.500000,22.680000,22.680000,10321200,24.254762,46.83065339060484
2023-06-12,22.850000,24.299999,22.740000,24.299999,24.299999,7131400,24.214762,54.34242726696218
2023-06-13,26.200001,27.650000,25.030001,26.950001,26.950001,17160600,24.025238095238095,58.86736388956098
2023-06-14,26.719999,27.080000,24.900000,25.700001,25.700001,7243700,23.88809519047619,55.83039493563322
2023-06-15,25.410000,26.170000,24.639999,24.840000,24.840000,5501800,23.804285666666665,52.4732617014356
2023-06-16,25.020000,25.110001,24.420000,24.559999,24.559999,4427000,23.738095238095237,49.72789123050579
2023-06-20,24.410000,24.650000,23.719999,24.580000,24.580000,3250700,23.658571428571427,50.938154642753766
2023-06-21,24.840000,25.100000,24.100000,24.430000,24.430000,2404700,23.55142857142857,49.08191756739034
2023-06-22,24.129999,24.330000,23.760000,24.320000,24.320000,1889600,23.490476238095237,43.03501719026836
2023-06-23,23.780001,24.150000,23.680000,23.700001,23.700001,2230800,23.45,62.84090617252134
2023-06-26,23.379999,24.030001,22.910000,23.020000,23.020000,2525200,23.434761952380953,52.06310579460884
2023-06-27,23.290001,23.600000,23.000000,23.580000,23.580000,2141500,23.37,44.98608287877235
2023-06-28,23.440001,25.100000,23.400000,24.980000,24.980000,3493900,23.224761904761905,33.38954465958953
2023-06-29,24.959999,25.469999,24.620001,24.900000,24.900000,3101000,23.096190523809526,41.596633447499904
2023-06-30,24.969999,25.129999,24.250000,24.250000,24.250000,2797500,22.965238142857142,43.51648636637962
2023-07-03,24.290001,25.110001,24.209999,24.910000,24.910000,1806600,22.77095242857143,53.54970516233159
2023-07-05,24.639999,24.850000,23.790001,23.900000,23.900000,2263100,22.629523857142857,44.256756756756765
2023-07-06,23.520000,23.570000,22.820000,22.830000,22.830000,2384600,22.54142861904762,38.304093567251456
2023-07-07,22.969999,23.530001,22.670000,22.709999,22.709999,2439600,22.463333428571428,38.24816959880736
2023-07-10,22.610001,23.559999,22.000000,23.540001,23.540001,3318200,22.33000004761905,48.86685616608715
2023-07-11,23.200001,24.440001,23.200001,23.910000,23.910000,3063500,22.14047623809524,56.592590639232405
2023-07-12,24.250000,24.309999,23.440001,23.440001,23.440001,1742200,21.985714333333334,48.948956614270784
2023-07-13,23.540001,23.980000,23.420000,23.459999,23.459999,1912200,21.83000014285714,35.606048410236454
2023-07-14,23.490000,23.719999,22.940001,22.969999,22.969999,2175300,21.68666680952381,33.04041002467666
2023-07-17,22.879999,23.309999,22.700001,22.820000,22.820000,2026000,21.520476333333335,36.223501434875324
2023-07-18,22.719999,23.799999,22.680000,23.080000,23.080000,2345100,21.306666809523808,30.89769557315053
2023-07-19,23.420000,23.580000,22.959999,23.170000,23.170000,2250100,21.078571523809522,40.568470578021014
2023-07-20,23.010000,23.219999,22.660000,22.910000,22.910000,2256700,20.861904904761904,51.307190396856505
2023-07-21,23.049999,23.219999,22.160000,22.180000,22.180000,3134100,20.68571442857143,42.77929927463157
2023-07-24,22.420000,23.040001,22.200001,23.040001,23.040001,2970400,20.410476285714285,43.24323593863346
2023-07-25,23.100000,23.100000,22.530001,22.850000,22.850000,1672000,20.126666714285715,34.943173263166656
2023-07-26,22.700001,22.990000,22.480000,22.700001,22.700001,1489200,19.824761952380953,38.43749277343302
2023-07-27,22.940001,23.490000,22.129999,22.219999,22.219999,3370900,19.582381,33.06011854638335
2023-07-28,22.020000,22.490000,21.790001,21.930000,21.930000,2642100,19.374761952380954,34.97111706037079
2023-07-31,22.000000,22.379999,21.850000,22.200001,22.200001,1973400,19.186190476190475,41.34080334569553
2023-08-01,21.950001,22.000000,21.260000,21.500000,21.500000,2567100,19.037142904761904,30.348278260419704
2023-08-02,21.150000,21.150000,20.340000,20.830000,20.830000,2625800,18.928571428571427,24.56523950848738
2023-08-03,20.879999,21.180000,20.740000,20.930000,20.930000,1318700,18.809047619047618,27.702722790339863
2023-08-04,20.950001,21.889999,20.889999,20.980000,20.980000,2400500,18.725714285714286,34.04257016747857
2023-08-07,20.900000,21.240000,20.480000,21.070000,21.070000,1441300,18.615238095238094,17.05687251818817
2023-08-08,20.700001,20.900000,20.280001,20.740000,20.740000,1431300,18.52714280952381,16.29395124987144
2023-08-09,20.850000,20.850000,19.820000,19.930000,19.930000,2929600,18.421428476190478,13.456480113604172
2023-08-10,20.000000,20.290001,19.870001,20.190001,20.190001,1432400,18.27047604761905,21.56867139010008
2023-08-11,20.030001,20.379999,19.969999,20.190001,20.190001,1500200,18.129523619047617,23.475649260076906
2023-08-14,19.750000,20.010000,19.080000,19.959999,19.959999,3329300,18.027142666666666,15.432110577641296
2023-08-15,19.770000,19.780001,19.090000,19.330000,19.330000,2290300,17.97952361904762,15.772892256850312
2023-08-16,19.180000,19.340000,18.549999,18.590000,18.590000,3015600,17.961904523809523,15.4321201036296
2023-08-17,18.790001,18.809999,18.299999,18.379999,18.379999,2056800,17.922380714285715,11.94031766538717
2023-08-18,18.180000,18.660000,18.139999,18.360001,18.360001,2023900,17.882380666666666,10.54219561982056
2023-08-21,18.299999,18.820000,18.200001,18.480000,18.480000,2864700,17.83666638095238,11.343283582089526
2023-08-22,18.620001,18.620001,17.250000,17.260000,17.260000,3791900,17.82523780952381,8.962264150943383
2023-08-23,17.250000,17.340000,16.879999,16.889999,16.889999,2909100,17.83904738095238,9.999997368421717
2023-08-24,16.940001,16.980000,16.180000,16.360001,16.360001,3624500,17.901428285714285,2.948379827213671
2023-08-25,16.500000,17.180000,16.450001,17.129999,17.129999,3423500,17.884761714285712,18.388382965605786
2023-08-28,17.350000,18.110001,17.250000,17.570000,17.570000,3007400,17.864761714285713,26.336620135267466
2023-08-29,17.600000,18.549999,17.600000,18.240000,18.240000,2709200,17.798095047619046,39.29272243043019
2023-08-30,18.200001,18.520000,17.910000,18.370001,18.370001,1884500,17.707142571428573,47.544652373651125
2023-08-31,18.410000,19.420000,18.150000,18.549999,18.549999,4674100,17.55666642857143,51.9101149349864
2023-09-01,18.660000,18.730000,18.320000,18.420000,18.420000,2131800,17.374761666666668,50.65788449329441
2023-09-05,18.450001,19.340000,18.260000,19.230000,19.230000,3781300,17.16714261904762,57.14286258503817
2023-09-06,19.059999,19.150000,18.420000,18.750000,18.750000,6107200,16.974761666666666,66.51886165752697
2023-09-07,19.129999,19.480000,17.610001,18.889999,18.889999,5021300,16.793333142857144,73.36451873530666
2023-09-08,18.150000,18.500000,17.350000,17.709999,17.709999,4689200,16.68333319047619,63.691674394867675
2023-09-11,17.850000,17.850000,16.900000,17.020000,17.020000,3543800,16.634761761904763,48.86598898927152
2023-09-12,17.530001,18.500000,17.190001,17.230000,17.230000,5179400,16.567618904761904,46.32034313449622
2023-09-13,17.309999,17.930000,17.270000,17.809999,17.809999,3012600,16.438095142857144,45.25384685855065
2023-09-14,17.799999,18.520000,17.600000,18.330000,18.330000,3078000,16.27571419047619,49.593485359233085
2023-09-15,18.360001,18.610001,18.150000,18.219999,18.219999,6158000,16.09523804761905,46.59793674141723
2023-09-18,17.990000,18.100000,17.350000,17.549999,17.549999,3694600,15.931904761904761,41.92948829860634
2023-09-19,17.590000,17.639999,17.129999,17.520000,17.520000,2584200,15.757142857142856,31.45335420969812
2023-09-20,17.629999,17.930000,17.450001,17.520000,17.520000,2129800,15.549523809523809,35.10895162661093
2023-09-21,17.280001,17.320000,16.650000,17.020000,17.020000,2910700,15.379047619047618,29.175953045869264
2023-09-22,17.180000,17.350000,17.000000,17.180000,17.180000,2100300,15.200952380952382,42.363124600324085
2023-09-25,17.000000,17.719999,16.850000,17.670000,17.670000,2181200,15.028095238095238,59.93883792048933
2023-09-26,17.379999,17.820000,16.780001,16.780001,16.780001,2726800,14.881904714285714,44.3038086845085
2023-09-27,16.870001,17.260000,16.809999,17.150000,17.150000,1681300,14.70809519047619,41.1764815979897
2023-09-28,18.020000,18.100000,16.440001,16.840000,16.840000,7431900,14.530952333333333,28.895172178567847
2023-09-29,17.049999,17.260000,16.400000,16.459999,16.459999,3388600,14.356666666666667,26.84209307478585
2023-10-02,16.299999,16.309999,15.260000,15.390000,15.390000,6087700,14.279523809523809,24.285707823124667
2023-10-03,15.290000,15.290000,14.570000,14.600000,14.600000,4510300,14.203809523809523,20.564504259880778
2023-10-04,14.770000,14.940000,14.440000,14.870000,14.870000,2586400,14.145238095238096,24.66538228121695
2023-10-05,14.700000,14.980000,14.580000,14.710000,14.710000,1945100,14.105238095238095,26.380358437774433
2023-10-06,14.590000,15.260000,14.580000,15.080000,15.080000,2458300,14.031428571428572,29.411756632061426
2023-10-09,14.770000,15.500000,14.720000,15.400000,15.400000,2276300,13.947619047619048,26.977678287090555
2023-10-10,15.500000,16.190001,15.400000,16.000000,16.000000,2915900,13.818095238095237,41.59481499888255
2023-10-11,16.010000,16.090000,15.740000,15.820000,15.820000,2098200,13.66952380952381,35.056179775280896
2023-10-12,15.770000,15.800000,14.820000,15.090000,15.090000,3180300,13.548095238095238,32.032854209445574
2023-10-13,14.920000,15.110000,14.780000,14.920000,14.920000,1823300,13.415714285714285,33.47640203356265
2023-10-16,14.810000,14.930000,14.150000,14.430000,14.430000,3508600,13.342857142857143,38.235294117647044
2023-10-17,14.250000,14.830000,14.100000,14.120000,14.120000,3842400,13.302380952380952,43.33333333333332
2023-10-18,14.000000,14.250000,13.810000,13.850000,13.850000,4045800,13.23952380952381,35.83333333333334
2023-10-19,13.800000,13.850000,12.900000,13.160000,13.160000,5808000,13.233333333333333,31.23486682808715
2023-10-20,13.180000,13.800000,13.120000,13.440000,13.440000,3657600,13.202857142857143,29.702970297029694
2023-10-23,13.280000,13.590000,13.040000,13.440000,13.440000,2785500,13.16047619047619,23.655913978494596
2023-10-24,13.590000,14.300000,13.550000,14.040000,14.040000,3738300,13.077142857142857,23.655913978494596
2023-10-25,14.010000,14.010000,13.610000,13.710000,13.710000,1967300,13.005238095238095,22.739018087855285
2023-10-26,13.730000,13.800000,13.410000,13.500000,13.500000,2036400,12.92952380952381,26.268656716417894
2023-10-27,13.510000,13.620000,13.020000,13.120000,13.120000,2481700,12.947142857142858,24.71910112359548
2023-10-30,13.150000,13.270000,12.590000,12.800000,12.800000,3475900,13.111428571428572,25.958702064896755
2023-10-31,12.850000,13.900000,12.820000,13.770000,13.770000,4574600,13.148571428571428,45.67901234567901
2023-11-01,13.780000,13.800000,13.010000,13.010000,13.010000,3430100,13.257619047619048,40.748898678414086
2023-11-02,13.370000,13.700000,13.280000,13.640000,13.640000,3566600,13.416666666666666,55.35714285714286
2023-11-03,13.900000,14.400000,13.830000,13.870000,13.870000,2963100,13.466190476190476,54.853273137697514
2023-11-06,13.990000,14.050000,13.490000,13.530000,13.530000,2164400,13.528571428571428,50.94339622641509
2023-11-07,13.470000,13.790000,13.230000,13.640000,13.640000,2354400,13.658095285714285,45.32710280373833
2023-11-08,13.510000,13.760000,13.280000,13.280000,13.280000,1705600,13.766190523809524,45.01160092807422
2023-11-09,13.250000,13.320000,12.700000,12.700000,12.700000,2750100,13.879047666666667,41.45299145299145
2023-11-10,12.810000,12.970000,12.350000,12.540000,12.540000,3872400,14.006666714285714,43.49775784753363
