X_Value,Y_Value
-200.0,-4.855678245371341
-199.0,-5.384139400184485
-198.0,-5.297181133419378
-197.0,-5.6717262174352365
-196.0,-5.892389727995369
-195.0,-6.420709813414452
-194.0,-6.795147694472952
-193.0,-7.400318433560186
-192.0,-6.928529396122848
-191.0,-6.379780250572806
-190.0,-6.677147583577164
-189.0,-6.743707976884365
-188.0,-6.964076468763176
-187.0,-6.876714246208339
-186.0,-6.63546710637432
-185.0,-6.54802699492941
-184.0,-6.306701236714673
-183.0,-6.680720227938445
-182.0,-6.362391282213968
-181.0,-6.197867861209302
-180.0,-5.725611112986316
-179.0,-5.637928333413298
-178.0,-6.0886652737279725
-177.0,-5.770129217327737
-176.0,-5.6823197488639385
-175.0,-5.517544138716972
-174.0,-5.660417342852078
-173.0,-6.0340158488249385
-172.0,-6.3306469063984725
-171.0,-6.704156219693756
-170.0,-6.308389485490304
-169.0,-5.9125770084447975
-168.0,-5.670564470151151
-167.0,-5.9669667751186894
-166.0,-6.340244973668255
-165.0,-6.098090877130661
-164.0,-6.08665782688578
-163.0,-5.998253001857446
-162.0,-6.371337418310099
-161.0,-6.052064391177746
-160.0,-5.963510303078843
-159.0,-5.797982296401479
-158.0,-5.709325965381684
-157.0,-6.005233048174623
-156.0,-6.454933734302984
-155.0,-6.4430428182515485
-154.0,-6.584944314592228
-153.0,-6.572945303870054
-152.0,-6.4070451630959315
-151.0,-6.702627873153519
-150.0,-7.382769710812189
-149.0,-7.447470017653387
-148.0,-7.435189661294609
-147.0,-7.422851035064452
-146.0,-6.871991903820608
-145.0,-6.705688480525731
-144.0,-6.077786195119185
-143.0,-6.219053540299562
-142.0,-6.591028224986669
-141.0,-5.962940250847076
-140.0,-6.104019604190336
-139.0,-6.475803947850666
-138.0,-6.232138620745772
-137.0,-5.757638175881378
-136.0,-5.129224841416156
-135.0,-5.193051597094018
-134.0,-4.949117558350684
-133.0,-4.8589602834783365
-132.0,-4.845655773078278
-131.0,-5.370741546416071
-130.0,-5.049601256216676
-129.0,-4.959156995744734
-128.0,-4.945561605861256
-127.0,-4.239583289747903
-126.0,-3.6873748429899837
-125.0,-3.519704422093865
-124.0,-3.2750324668220716
-123.0,-3.3379732378831637
-122.0,-2.939294816128757
-121.0,-2.5405344863330566
-120.0,-2.6801525824763233
-119.0,-2.8196863329920645
-118.0,-2.8822113982837965
-117.0,-3.2523418697401634
-116.0,-3.083922576400185
-115.0,-3.0692598531125683
-114.0,-3.669890770186719
-113.0,-4.193506209148345
-112.0,-4.409335476904674
-111.0,-4.855838612162606
-110.0,-5.148398691789088
-109.0,-5.210091060187419
-108.0,-5.73322178937837
-107.0,-6.256250754397827
-106.0,-6.163791631699375
-105.0,-5.686611897480719
-104.0,-5.363171287467942
-103.0,-5.270391025845139
-102.0,-6.023653823324315
-101.0,-5.4691115674269914
-100.0,-5.606762243433211
-99.0,-5.8212191629147005
-98.0,-5.497095576768526
-97.0,-5.0959277496670525
-96.0,-5.386944188224092
-95.0,-4.831681022868834
-94.0,-4.583982004956979
-93.0,-4.489998503724692
-92.0,-4.780497195382554
-91.0,-4.686244675107361
-90.0,-4.745699761150273
-89.0,-4.651167337201839
-88.0,-4.556490656076463
-87.0,-4.077051335469907
-86.0,-4.059000122695994
-85.0,-3.9638722745379655
-84.0,-4.022433706040655
-83.0,-3.8500656005294025
-82.0,-4.139072096216613
-81.0,-4.427911049370084
-80.0,-4.331963258630231
