X_Value,Y_Value
-10000,-21.5443469
-9999,-21.54362873
-9998,-21.54291051
-9997,-21.54219225
-9996,-21.54147394
-9995,-21.54075558
-9994,-21.54003717
-9993,-21.53931871
-9992,-21.53860021
-9991,-21.53788166
-9990,-21.53716306
-9989,-21.53644441
-9988,-21.53572571
-9987,-21.53500697
-9986,-21.53428818
-9985,-21.53356934
-9984,-21.53285045
-9983,-21.53213151
-9982,-21.53141253
-9981,-21.5306935
-9980,-21.52997442
-9979,-21.52925529
-9978,-21.52853611
-9977,-21.52781689
-9976,-21.52709762
-9975,-21.5263783
-9974,-21.52565893
-9973,-21.52493951
-9972,-21.52422005
-9971,-21.52350053
-9970,-21.52278097
-9969,-21.52206136
-9968,-21.52134171
-9967,-21.520622
-9966,-21.51990225
-9965,-21.51918245
-9964,-21.5184626
-9963,-21.5177427
-9962,-21.51702275
-9961,-21.51630276
-9960,-21.51558272
-9959,-21.51486263
-9958,-21.51414249
-9957,-21.5134223
-9956,-21.51270207
-9955,-21.51198178
-9954,-21.51126145
-9953,-21.51054107
-9952,-21.50982064
-9951,-21.50910017
-9950,-21.50837964
-9949,-21.50765907
-9948,-21.50693845
-9947,-21.50621778
-9946,-21.50549706
-9945,-21.5047763
-9944,-21.50405548
-9943,-21.50333462
-9942,-21.50261371
-9941,-21.50189275
-9940,-21.50117174
-9939,-21.50045068
-9938,-21.49972958
-9937,-21.49900843
-9936,-21.49828723
-9935,-21.49756598
-9934,-21.49684468
-9933,-21.49612333
-9932,-21.49540194
-9931,-21.49468049
-9930,-21.493959
-9929,-21.49323746
-9928,-21.49251587
-9927,-21.49179424
-9926,-21.49107255
-9925,-21.49035082
-9924,-21.48962903
-9923,-21.4889072
-9922,-21.48818532
-9921,-21.4874634
-9920,-21.48674142
-9919,-21.48601939
-9918,-21.48529732
-9917,-21.4845752
-9916,-21.48385303
-9915,-21.48313081
-9914,-21.48240854
-9913,-21.48168623
-9912,-21.48096386
-9911,-21.48024145
-9910,-21.47951899
-9909,-21.47879647
-9908,-21.47807392
-9907,-21.47735131
-9906,-21.47662865
-9905,-21.47590595
-9904,-21.47518319
-9903,-21.47446039
-9902,-21.47373754
-9901,-21.47301464
-9900,-21.47229169
-9899,-21.47156869
-9898,-21.47084565
-9897,-21.47012255
-9896,-21.46939941
-9895,-21.46867622
-9894,-21.46795298
-9893,-21.46722969
-9892,-21.46650635
-9891,-21.46578296
-9890,-21.46505953
-9889,-21.46433604
-9888,-21.46361251
-9887,-21.46288893
-9886,-21.4621653
-9885,-21.46144162
-9884,-21.46071789
-9883,-21.45999411
-9882,-21.45927029
-9881,-21.45854641
-9880,-21.45782249
-9879,-21.45709851
-9878,-21.45637449
-9877,-21.45565042
-9876,-21.4549263
-9875,-21.45420214
-9874,-21.45347792
-9873,-21.45275365
-9872,-21.45202934
-9871,-21.45130497
