X_Value,Y_Value
-1000.0,-10.0
-999.0,-9.99666555493786
-998.0,-9.993328883944024
-997.0,-9.989989983299926
-996.0,-9.986648849277056
-995.0,-9.983305478136913
-994.0,-9.979959866130976
-993.0,-9.976612009500661
-992.0,-9.973261904477292
-991.0,-9.969909547282054
-990.0,-9.966554934125964
-989.0,-9.963198061209825
-988.0,-9.959838924724199
-987.0,-9.956477520849356
-986.0,-9.953113845755247
-985.0,-9.94974789560146
-984.0,-9.946379666537181
-983.0,-9.943009154701157
-982.0,-9.939636356221659
-981.0,-9.936261267216437
-980.0,-9.932883883792687
-979.0,-9.929504202047008
-978.0,-9.92612221806536
-977.0,-9.922737927923036
-976.0,-9.919351327684602
-975.0,-9.915962413403873
-974.0,-9.91257118112387
-973.0,-9.90917762687677
-972.0,-9.90578174668388
-971.0,-9.902383536555579
-970.0,-9.898982992491293
-969.0,-9.895580110479441
-968.0,-9.892174886497402
-967.0,-9.888767316511466
-966.0,-9.885357396476799
-965.0,-9.881945122337394
-964.0,-9.878530490026034
-963.0,-9.875113495464248
-962.0,-9.871694134562265
-961.0,-9.868272403218974
-960.0,-9.864848297321881
-959.0,-9.861421812747063
-958.0,-9.857992945359124
-957.0,-9.854561691011158
-956.0,-9.851128045544696
-955.0,-9.847692004789668
-954.0,-9.84425356456435
-953.0,-9.840812720675329
-952.0,-9.837369468917457
-951.0,-9.833923805073796
-950.0,-9.830475724915585
-949.0,-9.827025224202185
-948.0,-9.82357229868104
-947.0,-9.820116944087623
-946.0,-9.816659156145398
-945.0,-9.813198930565768
-944.0,-9.809736263048034
-943.0,-9.806271149279334
-942.0,-9.802803584934617
-941.0,-9.799333565676578
-940.0,-9.795861087155615
-939.0,-9.792386145009786
-938.0,-9.788908734864755
-937.0,-9.785428852333746
-936.0,-9.781946493017497
-935.0,-9.778461652504202
-934.0,-9.77497432636947
-933.0,-9.771484510176279
-932.0,-9.767992199474914
-931.0,-9.764497389802925
-930.0,-9.761000076685075
-929.0,-9.757500255633296
-928.0,-9.753997922146628
-927.0,-9.750493071711167
-926.0,-9.746985699800032
-925.0,-9.74347580187329
-924.0,-9.739963373377918
-923.0,-9.736448409747755
-922.0,-9.732930906403432
-921.0,-9.72941085875234
-920.0,-9.72588826218856
-919.0,-9.722363112092824
-918.0,-9.71883540383245
-917.0,-9.7153051327613
-916.0,-9.711772294219713
-915.0,-9.708236883534463
-914.0,-9.704698896018698
-913.0,-9.701158326971884
-912.0,-9.69761517167976
-911.0,-9.694069425414265
-910.0,-9.6905210834335
-909.0,-9.68697014098167
-908.0,-9.683416593289008
-907.0,-9.679860435571749
-906.0,-9.676301663032051
