X_Value,Y_Value
-10000.0,-19.544346900318835
-9999.0,-23.543628731482666
-9998.0,-29.542910514762188
-9997.0,-28.542192250149423
-9996.0,-31.54147393763638
-9995.0,-29.540755577215076
-9994.0,-15.540037168877525
-9993.0,-14.539318712615731
-9992.0,-12.538600208421702
-9991.0,-24.537881656287443
-9990.0,-16.537163056204957
-9989.0,-17.536444408166243
-9988.0,-30.535725712163302
-9987.0,-22.535006968188128
-9986.0,-13.534288176232714
-9985.0,-24.533569336289055
-9984.0,-22.532850448349137
-9983.0,-18.53213151240495
-9982.0,-29.531412528448477
-9981.0,-16.530693496471706
-9980.0,-25.52997441646661
-9979.0,-26.52925528842518
-9978.0,-27.52853611233938
-9977.0,-17.527816888201194
-9976.0,-30.52709761600259
-9975.0,-16.52637829573554
-9974.0,-16.52565892739201
-9973.0,-29.524939510963968
-9972.0,-22.52422004644338
-9971.0,-16.523500533822205
-9970.0,-20.5227809730924
-9969.0,-30.52206136424593
-9968.0,-26.521341707274743
-9967.0,-18.520622002170796
-9966.0,-26.51990224892604
-9965.0,-28.519182447532422
-9964.0,-30.51846259798189
-9963.0,-31.51774270026639
-9962.0,-27.517022754377862
-9961.0,-26.516302760308246
-9960.0,-26.515582718049483
-9959.0,-27.514862627593505
-9958.0,-13.51414248893225
-9957.0,-23.51342230205765
-9956.0,-21.512702066961626
-9955.0,-22.511981783636116
-9954.0,-21.51126145207304
-9953.0,-29.51054107226432
-9952.0,-24.50982064420188
-9951.0,-25.509100167877637
-9950.0,-17.508379643283508
-9949.0,-31.507659070411407
-9948.0,-20.506938449253244
-9947.0,-27.50621777980093
-9946.0,-25.505497062046377
-9945.0,-26.504776295981486
-9944.0,-15.504055481598161
-9943.0,-25.503334618888307
-9942.0,-30.502613707843818
-9941.0,-11.501892748456594
-9940.0,-17.50117174071853
-9939.0,-28.500450684621516
-9938.0,-11.499729580157442
-9937.0,-12.499008427318202
-9936.0,-16.49828722609568
-9935.0,-31.497565976481756
-9934.0,-22.496844678468314
-9933.0,-31.496123332047233
-9932.0,-18.495401937210392
-9931.0,-14.494680493949666
-9930.0,-27.493959002256926
-9929.0,-21.493237462124046
-9928.0,-13.492515873542889
-9927.0,-18.491794236505328
-9926.0,-31.491072551003224
-9925.0,-18.49035081702844
-9924.0,-29.489629034572836
-9923.0,-13.488907203628266
-9922.0,-13.488185324186592
-9921.0,-11.487463396239662
-9920.0,-30.486741419779328
-9919.0,-17.48601939479744
-9918.0,-29.48529732128585
-9917.0,-23.484575199236392
-9916.0,-16.483853028640915
-9915.0,-21.48313080949126
-9914.0,-27.48240854177926
-9913.0,-18.48168622549676
-9912.0,-17.48096386063558
-9911.0,-16.480241447187563
-9910.0,-21.47951898514453
-9909.0,-17.478796474498314
-9908.0,-20.47807391524074
-9907.0,-17.477351307363627
-9906.0,-31.476628650858796
-9905.0,-16.475905945718065
-9904.0,-13.475183191933251
-9903.0,-28.47446038949617
-9902.0,-30.47373753839863
-9901.0,-14.473014638632442
-9900.0,-19.47229169018941
-9899.0,-23.471568693061347
-9898.0,-31.470845647240047
-9897.0,-20.470122552717317
-9896.0,-30.46939940948495
-9895.0,-24.468676217534746
-9894.0,-25.467952976858495
-9893.0,-21.467229687447993
-9892.0,-11.466506349295027
-9891.0,-16.465782962391387
-9890.0,-20.465059526728854
-9889.0,-26.464336042299216
-9888.0,-15.463612509094247
-9887.0,-22.462888927105734
-9886.0,-28.462165296325445
-9885.0,-29.461441616745155
-9884.0,-15.46071788835664
-9883.0,-19.45999411115167
-9882.0,-26.459270285122006
-9881.0,-12.45854641025942
-9880.0,-31.45782248655567
-9879.0,-19.457098514002517
-9878.0,-19.456374492591724
-9877.0,-26.455650422315045
-9876.0,-25.454926303164232
-9875.0,-24.454202135131034
-9874.0,-12.45347791820721
-9873.0,-14.452753652384498
-9872.0,-15.45202933765465
-9871.0,-12.451304974009403
-9870.0,-29.4505805614405
-9869.0,-20.449856099939684
-9868.0,-15.44913158949868
-9867.0,-24.448407030109234
-9866.0,-13.447682421763073
-9865.0,-26.446957764451923
-9864.0,-12.446233058167515
-9863.0,-25.445508302901573
-9862.0,-21.44478349864582
-9861.0,-18.444058645391973
-9860.0,-26.443333743131756
-9859.0,-12.442608791856884
-9858.0,-30.441883791559068
-9857.0,-27.441158742230023
-9856.0,-28.440433643861454
-9855.0,-12.439708496445068
-9854.0,-30.438983299972577
-9853.0,-23.438258054435675
-9852.0,-28.437532759826066
-9851.0,-25.436807416135448
-9850.0,-12.436082023355521
-9849.0,-20.43535658147797
-9848.0,-17.43463109049449
-9847.0,-24.433905550396773
-9846.0,-14.433179961176503
-9845.0,-14.432454322825365
-9844.0,-29.43172863533504
-9843.0,-26.431002898697216
-9842.0,-12.430277112903557
-9841.0,-11.429551277945748
-9840.0,-15.428825393815462
-9839.0,-12.428099460504367
-9838.0,-19.427373478004135
-9837.0,-22.426647446306426
-9836.0,-23.425921365402914
-9835.0,-22.42519523528525
-9834.0,-22.424469055945107
-9833.0,-21.42374282737413
-9832.0,-17.42301654956398
-9831.0,-21.42229022250631
-9830.0,-29.421563846192768
-9829.0,-14.420837420615008
-9828.0,-24.42011094576467
-9827.0,-15.419384421633403
-9826.0,-22.418657848212845
-9825.0,-26.417931225494634
-9824.0,-29.417204553470413
-9823.0,-21.41647783213181
-9822.0,-11.415751061470463
-9821.0,-18.415024241478
-9820.0,-22.414297372146052
-9819.0,-30.41357045346624
-9818.0,-21.412843485430187
-9817.0,-29.41211646802952
-9816.0,-11.411389401255853
-9815.0,-31.410662285100802
-9814.0,-29.40993511955599
-9813.0,-30.409207904613016
-9812.0,-19.408480640263498
-9811.0,-30.407753326499044
-9810.0,-20.407025963311256
-9809.0,-12.406298550691737
-9808.0,-18.40557108863209
-9807.0,-19.404843577123913
-9806.0,-21.404116016158802
-9805.0,-25.403388405728347
-9804.0,-21.402660745824143
-9803.0,-18.401933036437782
-9802.0,-14.401205277560845
-9801.0,-18.40047746918492
-9800.0,-17.39974961130159
-9799.0,-12.399021703902434
-9798.0,-31.39829374697903
-9797.0,-30.39756574052295
-9796.0,-21.396837684525774
-9795.0,-27.39610957897907
-9794.0,-14.395381423874401
-9793.0,-29.39465321920334
-9792.0,-17.393924964957453
-9791.0,-26.393196661128297
-9790.0,-17.392468307707432
-9789.0,-19.391739904686414
-9788.0,-16.3910114520568
-9787.0,-24.390282949810143
-9786.0,-13.389554397937992
-9785.0,-16.388825796431895
-9784.0,-25.3880971452834
-9783.0,-29.387368444484046
-9782.0,-15.386639694025376
-9781.0,-12.385910893898927
-9780.0,-15.38518204409624
-9779.0,-18.384453144608848
-9778.0,-29.38372419542828
-9777.0,-13.382995196546062
-9776.0,-30.38226614795373
-9775.0,-14.381537049642805
-9774.0,-23.380807901604808
-9773.0,-21.38007870383126
-9772.0,-30.37934945631368
-9771.0,-25.37862015904358
-9770.0,-21.37789081201248
-9769.0,-23.377161415211887
-9768.0,-23.37643196863331
-9767.0,-30.375702472268255
-9766.0,-12.374972926108224
-9765.0,-20.374243330144722
-9764.0,-31.373513684369247
-9763.0,-15.3727839887733
-9762.0,-22.372054243348366
-9761.0,-20.371324448085947
-9760.0,-14.37059460297753
-9759.0,-16.3698647080146
-9758.0,-26.369134763188647
-9757.0,-26.36840476849115
-9756.0,-29.36767472391359
-9755.0,-15.366944629447449
-9754.0,-19.366214485084203
-9753.0,-21.36548429081532
-9752.0,-11.364754046632278
-9751.0,-20.364023752526546
-9750.0,-26.363293408489586
-9749.0,-21.36256301451286
-9748.0,-12.36183257058784
-9747.0,-23.361102076705983
-9746.0,-11.36037153285874
-9745.0,-22.35964093903757
-9744.0,-30.358910295233926
-9743.0,-29.35817960143926
-9742.0,-20.357448857645018
-9741.0,-21.356718063842646
-9740.0,-16.35598722002359
-9739.0,-13.355256326179283
-9738.0,-12.354525382301176
-9737.0,-18.353794388380695
-9736.0,-24.35306334440928
-9735.0,-29.352332250378357
-9734.0,-31.35160110627936
-9733.0,-28.350869912103718
-9732.0,-28.350138667842852
-9731.0,-25.349407373488184
-9730.0,-15.348676029031132
-9729.0,-27.347944634463122
-9728.0,-22.34721318977556
-9727.0,-14.346481694959863
-9726.0,-18.34575015000744
-9725.0,-25.3450185549097
-9724.0,-19.344286909658052
-9723.0,-14.343555214243896
-9722.0,-18.34282346865863
-9721.0,-15.342091672893659
-9720.0,-23.341359826940376
-9719.0,-11.340627930790177
-9718.0,-15.339895984434452
-9717.0,-18.33916398786459
-9716.0,-19.338431941071978
-9715.0,-21.337699844048004
-9714.0,-19.336967696784047
-9713.0,-17.336235499271485
-9712.0,-27.3355032515017
-9711.0,-23.334770953466062
-9710.0,-13.33403860515595
-9709.0,-23.333306206562728
-9708.0,-30.332573757677768
-9707.0,-13.331841258492435
-9706.0,-29.331108708998094
-9705.0,-24.3303761091861
-9704.0,-11.32964345904782
-9703.0,-21.3289107585746
-9702.0,-17.328178007757803
-9701.0,-11.327445206588777
-9700.0,-11.32671235505887
-9699.0,-29.325979453159427
-9698.0,-24.325246500881796
-9697.0,-14.324513498217318
-9696.0,-16.32378044515733
-9695.0,-14.323047341693172
-9694.0,-12.322314187816179
-9693.0,-18.32158098351768
-9692.0,-21.32084772878901
-9691.0,-21.32011442362149
-9690.0,-13.31938106800645
-9689.0,-16.318647661935213
-9688.0,-16.317914205399095
-9687.0,-24.317180698389418
-9686.0,-27.3164471408975
-9685.0,-15.315713532914646
-9684.0,-19.314979874432172
-9683.0,-24.31424616544139
-9682.0,-30.3135124059336
-9681.0,-25.312778595900106
-9680.0,-19.312044735332215
-9679.0,-22.31131082422122
-9678.0,-29.31057686255842
-9677.0,-29.30984285033511
-9676.0,-25.309108787542577
-9675.0,-21.308374674172114
-9674.0,-24.30764051021501
-9673.0,-16.306906295662543
-9672.0,-17.306172030506
-9671.0,-24.305437714736662
-9670.0,-16.304703348345804
-9669.0,-15.303968931324697
-9668.0,-14.30323446366462
-9667.0,-21.30249994535684
-9666.0,-15.301765376392623
-9665.0,-22.30103075676324
-9664.0,-22.300296086459948
-9663.0,-12.299561365474009
-9662.0,-25.29882659379668
-9661.0,-28.29809177141922
-9660.0,-24.29735689833288
-9659.0,-15.296621974528911
-9658.0,-15.295886999998558
-9657.0,-12.295151974733074
-9656.0,-27.294416898723696
-9655.0,-28.29368177196167
-9654.0,-16.29294659443823
-9653.0,-19.292211366144617
-9652.0,-27.29147608707206
-9651.0,-13.290740757211793
-9650.0,-30.290005376555047
-9649.0,-22.289269945093046
-9648.0,-19.28853446281701
-9647.0,-30.28779892971817
-9646.0,-12.28706334578774
-9645.0,-15.286327711016938
-9644.0,-11.285592025396976
-9643.0,-30.28485628891907
-9642.0,-25.284120501574424
-9641.0,-30.28338466335425
-9640.0,-12.28264877424975
-9639.0,-22.28191283425213
-9638.0,-15.281176843352586
-9637.0,-15.280440801542316
-9636.0,-15.279704708812517
-9635.0,-12.27896856515438
-9634.0,-17.278232370559092
-9633.0,-14.277496125017848
-9632.0,-19.276759828521826
-9631.0,-23.276023481062214
-9630.0,-12.27528708263019
-9629.0,-21.27455063321693
-9628.0,-14.273814132813612
-9627.0,-24.27307758141141
-9626.0,-15.272340979001495
-9625.0,-25.27160432557503
-9624.0,-13.270867621123184
-9623.0,-12.270130865637121
-9622.0,-28.269394059108
-9621.0,-12.268657201526981
-9620.0,-15.267920292885218
-9619.0,-31.267183333173865
-9618.0,-16.266446322384073
-9617.0,-26.265709260506995
-9616.0,-13.264972147533769
-9615.0,-26.264234983455545
-9614.0,-31.26349776826346
-9613.0,-21.26276050194865
-9612.0,-12.262023184502262
-9611.0,-30.26128581591542
-9610.0,-30.260548396179264
-9609.0,-18.259810925284913
-9608.0,-16.259073403223496
-9607.0,-14.258335829986141
-9606.0,-22.25759820556397
-9605.0,-20.256860529948096
-9604.0,-16.25612280312964
-9603.0,-12.255385025099713
-9602.0,-25.25464719584943
-9601.0,-26.253909315369896
-9600.0,-25.253171383652223
-9599.0,-12.252433400687508
-9598.0,-27.251695366466862
-9597.0,-25.25095728098138
-9596.0,-29.250219144222154
-9595.0,-23.24948095618028
-9594.0,-14.24874271684686
-9593.0,-24.24800442621297
-9592.0,-22.247266084269704
-9591.0,-12.246527691008144
-9590.0,-19.245789246419374
-9589.0,-28.24505075049447
-9588.0,-27.244312203224514
-9587.0,-24.243573604600574
-9586.0,-29.242834954613727
-9585.0,-30.24209625325504
-9584.0,-25.241357500515583
-9583.0,-26.240618696386417
-9582.0,-26.239879840858606
-9581.0,-26.239140933923206
-9580.0,-31.238401975571282
-9579.0,-21.23766296579388
-9578.0,-12.236923904582056
-9577.0,-13.236184791926863
-9576.0,-23.23544562781934
-9575.0,-29.23470641225054
-9574.0,-25.233967145211498
-9573.0,-18.23322782669326
-9572.0,-29.232488456686855
-9571.0,-17.231749035183327
-9570.0,-11.2310095621737
-9569.0,-19.23027003764901
-9568.0,-14.22953046160028
-9567.0,-18.22879083401854
-9566.0,-15.228051154894803
-9565.0,-30.227311424220094
-9564.0,-27.226571641985434
-9563.0,-15.22583180818183
-9562.0,-14.2250919228003
-9561.0,-31.22435198583185
-9560.0,-28.223611997267486
-9559.0,-11.222871957098217
-9558.0,-26.222131865315042
-9557.0,-27.22139172190896
-9556.0,-20.220651526870974
-9555.0,-11.219911280192072
-9554.0,-13.219170981863247
-9553.0,-23.218430631875492
-9552.0,-19.21769023021979
-9551.0,-21.216949776887127
-9550.0,-14.216209271868486
-9549.0,-30.215468715154845
-9548.0,-11.21472810673718
-9547.0,-24.21398744660647
-9546.0,-29.21324673475368
-9545.0,-18.212505971169787
-9544.0,-12.21176515584575
-9543.0,-20.211024288772542
-9542.0,-30.210283369941116
-9541.0,-30.209542399342435
-9540.0,-20.20880137696746
-9539.0,-30.208060302807137
-9538.0,-23.207319176852426
-9537.0,-24.206577999094268
-9536.0,-11.205836769523618
-9535.0,-21.205095488131413
-9534.0,-28.204354154908597
-9533.0,-30.20361276984611
-9532.0,-20.202871332934887
-9531.0,-27.202129844165864
-9530.0,-29.20138830352997
-9529.0,-16.200646711018138
-9528.0,-11.199905066621287
-9527.0,-29.19916337033035
-9526.0,-13.198421622136241
-9525.0,-19.19767982202988
-9524.0,-12.196937970002185
-9523.0,-28.19619606604407
-9522.0,-14.195454110146446
-9521.0,-28.19471210230022
-9520.0,-26.193970042496296
-9519.0,-24.193227930725584
-9518.0,-27.19248576697898
-9517.0,-29.19174355124738
-9516.0,-15.191001283521686
-9515.0,-12.190258963792786
-9514.0,-25.189516592051575
-9513.0,-19.18877416828894
-9512.0,-17.188031692495766
-9511.0,-22.187289164662932
-9510.0,-30.186546584781325
-9509.0,-29.185803952841823
-9508.0,-11.185061268835295
-9507.0,-14.184318532752616
-9506.0,-31.18357574458466
-9505.0,-29.182832904322293
-9504.0,-29.18209001195638
-9503.0,-23.18134706747778
-9502.0,-22.180604070877358
-9501.0,-15.179861022145968
-9500.0,-26.179117921274464
-9499.0,-25.178374768253704
-9498.0,-22.177631563074534
-9497.0,-14.1768883057278
-9496.0,-20.17614499620435
-9495.0,-25.175401634495024
-9494.0,-13.174658220590661
-9493.0,-18.173914754482098
-9492.0,-20.17317123616017
-9491.0,-15.172427665615704
-9490.0,-16.171684042839537
-9489.0,-23.170940367822492
-9488.0,-22.170196640555393
-9487.0,-25.16945286102906
-9486.0,-24.168709029234318
-9485.0,-25.167965145161975
-9484.0,-17.167221208802847
-9483.0,-17.166477220147748
-9482.0,-30.165733179187484
-9481.0,-13.164989085912861
-9480.0,-20.164244940314685
-9479.0,-24.163500742383754
-9478.0,-29.162756492110866
-9477.0,-12.162012189486816
-9476.0,-26.1612678345024
-9475.0,-25.16052342714841
-9474.0,-20.159778967415626
-9473.0,-24.15903445529484
-9472.0,-14.158289890776832
-9471.0,-26.15754527385238
-9470.0,-26.156800604512267
-9469.0,-28.156055882747264
-9468.0,-24.15531110854814
-9467.0,-30.154566281905673
-9466.0,-14.153821402810625
-9465.0,-18.15307647125376
-9464.0,-18.15233148722584
-9463.0,-31.151586450717627
-9462.0,-13.150841361719873
-9461.0,-11.150096220223336
-9460.0,-12.149351026218763
-9459.0,-26.148605779696908
-9458.0,-28.147860480648514
-9457.0,-31.14711512906433
-9456.0,-31.146369724935088
-9455.0,-17.14562426825153
-9454.0,-15.144878759004392
-9453.0,-25.14413319718441
-9452.0,-22.14338758278231
-9451.0,-11.142641915788825
-9450.0,-16.141896196194676
-9449.0,-31.141150423990585
-9448.0,-28.140404599167276
-9447.0,-31.139658721715463
-9446.0,-19.138912791625863
-9445.0,-17.13816680888919
-9444.0,-28.137420773496146
-9443.0,-22.13667468543745
-9442.0,-31.13592854470379
-9441.0,-18.13518235128588
-9440.0,-18.13443610517442
-9439.0,-17.1336898063601
-9438.0,-31.132943454833615
-9437.0,-31.132197050585656
-9436.0,-21.131450593606917
-9435.0,-22.130704083888077
-9434.0,-28.129957521419822
-9433.0,-24.129210906192835
-9432.0,-15.12846423819779
-9431.0,-27.127717517425364
-9430.0,-29.126970743866227
-9429.0,-16.126223917511055
-9428.0,-12.125477038350514
-9427.0,-11.124730106375264
-9426.0,-28.12398312157597
-9425.0,-27.123236083943297
-9424.0,-11.122488993467893
-9423.0,-15.121741850140417
-9422.0,-12.120994653951517
-9421.0,-25.12024740489185
-9420.0,-19.119500102952053
-9419.0,-29.118752748122773
-9418.0,-15.118005340394653
-9417.0,-22.11725787975833
-9416.0,-20.11651036620444
-9415.0,-30.115762799723615
-9414.0,-15.115015180306486
-9413.0,-13.114267507943683
-9412.0,-24.11351978262583
-9411.0,-14.112772004343544
-9410.0,-21.112024173087452
-9409.0,-26.111276288848167
-9408.0,-27.110528351616306
-9407.0,-22.10978036138248
-9406.0,-17.1090323181373
-9405.0,-27.108284221871365
-9404.0,-17.107536072575286
-9403.0,-24.106787870239664
-9402.0,-26.106039614855096
-9401.0,-28.105291306412177
-9400.0,-21.1045429449015
-9399.0,-21.103794530313657
-9398.0,-22.103046062639233
-9397.0,-14.102297541868818
-9396.0,-12.10154896799299
-9395.0,-29.10080034100233
-9394.0,-22.100051660887416
-9393.0,-15.099302927638824
-9392.0,-17.098554141247124
-9391.0,-24.097805301702884
-9390.0,-30.09705640899667
-9389.0,-13.09630746311905
-9388.0,-18.09555846406058
-9387.0,-20.09480941181182
-9386.0,-19.09406030636333
-9385.0,-30.093311147705656
-9384.0,-27.09256193582935
-9383.0,-25.091812670724966
-9382.0,-17.091063352383042
-9381.0,-16.09031398079412
-9380.0,-27.089564555948748
-9379.0,-18.088815077837452
-9378.0,-13.088065546450775
-9377.0,-16.087315961779243
-9376.0,-28.086566323813386
-9375.0,-24.085816632543732
-9374.0,-27.085066887960803
-9373.0,-19.084317090055116
-9372.0,-14.083567238817196
-9371.0,-16.082817334237557
-9370.0,-22.082067376306707
-9369.0,-19.08131736501516
-9368.0,-31.080567300353422
-9367.0,-18.079817182312
-9366.0,-23.07906701088139
-9365.0,-28.078316786052095
-9364.0,-18.077566507814613
-9363.0,-23.076816176159433
-9362.0,-13.076065791077049
-9361.0,-12.07531535255795
-9360.0,-31.074564860592623
-9359.0,-25.073814315171546
-9358.0,-14.073063716285201
-9357.0,-18.072313063924067
-9356.0,-16.07156235807862
-9355.0,-30.070811598739326
-9354.0,-12.070060785896661
