X_Value,Y_Value
-10000.0,-22.584062576440886
-9999.0,-22.773820070767396
-9998.0,-22.201672755216872
-9997.0,-22.296192058352737
-9996.0,-21.58118750397651
-9995.0,-20.961420996842076
-9994.0,-21.62736872741762
-9993.0,-22.007602124266555
-9992.0,-22.19735928261896
-9991.0,-22.006164011990624
-9990.0,-22.672111550468767
-9989.0,-23.099963802807267
-9988.0,-22.52781600709334
-9987.0,-22.717572925223713
-9986.0,-23.43113931909513
-9985.0,-23.7161342363186
-9984.0,-24.143986248314658
-9983.0,-24.57183821221813
-9982.0,-24.428261556592403
-9981.0,-24.90373247190563
-9980.0,-24.998250958149768
-9979.0,-24.37848368198344
-9978.0,-24.187287786255737
-9977.0,-24.377044223339567
-9976.0,-23.995372040845925
-9975.0,-24.23274742924295
-9974.0,-24.851075150427345
-9973.0,-24.612259966295817
-9972.0,-24.754397114935543
-9971.0,-24.80129612014799
-9970.0,-25.324385553353654
-9969.0,-24.847474938354004
-9968.0,-24.89437379895049
-9967.0,-25.2269868970398
-9966.0,-25.226266613566253
-9965.0,-24.60649866280748
-9964.0,-24.367683044755402
-9963.0,-24.319343568925756
-9962.0,-23.556718330548552
-9961.0,-23.127426377234755
-9960.0,-23.221943899452473
-9959.0,-22.45931851624123
-9958.0,-22.410978799021514
-9957.0,-22.07692474778523
-9956.0,-22.55239445776238
-9955.0,-22.55167364323058
-9954.0,-23.027143256562685
-9953.0,-22.502612821560113
-9952.0,-22.02570138583382
-9951.0,-22.120218473185215
-9950.0,-22.309973607415717
-9949.0,-21.452109645660073
-9948.0,-21.356150397433982
-9947.0,-21.545905386538852
-9946.0,-21.211850803442758
-9945.0,-21.353986648137585
-9944.0,-21.258027206329494
-9943.0,-20.68587723991513
-9942.0,-19.7803938917435
-9941.0,-20.684434304663633
-9940.0,-20.683712764381674
-9939.0,-20.730610223270453
-9938.0,-21.301317157512308
-9937.0,-21.4910716623372
-9936.0,-21.72844516630842
-9935.0,-21.537247193227344
-9934.0,-21.34604917165727
-9933.0,-20.678660625399573
-9932.0,-20.582700602065152
-9931.0,-20.915311958788717
-9930.0,-20.43839945746688
-9929.0,-20.390058336186723
-9928.0,-20.5798124044639
-9927.0,-21.198137852766447
-9926.0,-20.48312991918144
-9925.0,-20.244312413224524
-9924.0,-20.195971049173256
-9923.0,-21.00477249368613
-9922.0,-21.05166912770736
-9921.0,-21.43189904646687
-9920.0,-21.097843202337444
-9919.0,-21.763787309596616
-9918.0,-21.334493272998117
-9917.0,-21.66710394967662
-9916.0,-22.04733362533823
-9915.0,-22.237087061879524
-9914.0,-21.950649973578038
-9913.0,-21.616593788997
-9912.0,-21.568251841461564
-9911.0,-21.758005083344482
-9910.0,-21.99537732416137
-9909.0,-21.899416182951654
-9908.0,-21.993931183516654
-9907.0,-22.51701756394341
-9906.0,-22.421056276604663
-9905.0,-22.372713988158882
-9904.0,-22.65770498431214
-9903.0,-22.56174355077051
-9902.0,-21.703877306573407
-9901.0,-22.512677680284035
-9900.0,-22.51195419570371
-9899.0,-22.320754471871822
-9898.0,-22.0819356516373
-9897.0,-22.319307258801437
-9896.0,-22.03286929335601
-9895.0,-21.460716993388033
-9894.0,-20.936183692222606
-9893.0,-20.649745580327686
-9892.0,-20.69664075293313
-9891.0,-21.314964448125945
-9890.0,-21.3142404754217
-9889.0,-20.789706930050247
-9888.0,-21.217554288193817
-9887.0,-20.788258740320355
-9886.0,-20.69229647689781
-9885.0,-19.88204845029887
-9884.0,-20.3575146605153
-9883.0,-20.452028440872162
-9882.0,-20.07035169612311
-9881.0,-20.736293950069413
-9880.0,-19.830807583655186
-9879.0,-20.353892596872164
-9878.0,-20.734120418283513
-9877.0,-20.828633905023818
-9876.0,-20.208861628513382
-9875.0,-20.49385120779155
-9874.0,-21.016935976183383
-9873.0,-21.682877838442504
-9872.0,-22.158343461227304
-9871.0,-22.157618558815216
-9870.0,-21.728322178817
-9869.0,-21.584740035510084
-9868.0,-22.01258641460047
-9867.0,-21.535670839889388
-9866.0,-21.582564739939972
-9865.0,-21.724696686172503
-9864.0,-22.390638107150107
-9863.0,-21.77086519334068
-9862.0,-21.293949373307342
-9861.0,-21.150366837517986
-9860.0,-20.482974728821443
-9859.0,-20.81558257101893
-9858.0,-20.433904649816423
-9857.0,-20.242702869967513
-9856.0,-19.9562629457496
-9855.0,-20.43172773429722
-9854.0,-20.002430568935388
-9853.0,-19.71599049727483
-9852.0,-19.381931328831033
-9851.0,-19.57168163502424
-9850.0,-19.666193796798503
-9849.0,-19.855944004621676
-9848.0,-19.759979877533056
-9847.0,-19.664015701238583
-9846.0,-20.234718142396588
-9845.0,-20.948277677189207
-9844.0,-20.566599067512865
-9843.0,-19.85158707526397
-9842.0,-20.136575033767517
-9841.0,-20.659658181110387
-9840.0,-21.373217469665185
-9839.0,-21.801062423233084
-9838.0,-22.276526375139053
-9837.0,-21.75199027775569
-9836.0,-22.132216035836546
-9835.0,-22.464822696992293
-9834.0,-22.845048356452672
-9833.0,-22.749083490399784
-9832.0,-23.367404289301454
-9831.0,-23.319058372196928
-9830.0,-22.508807643839734
-9829.0,-22.698556866126264
-9828.0,-22.459734610476705
-9827.0,-22.74472182926363
-9826.0,-22.886851855811983
-9825.0,-22.64802945201815
-9824.0,-22.123492713111837
-9823.0,-21.789432115275122
-9822.0,-22.122038134690097
-9821.0,-22.073691723729315
-9820.0,-21.596773834765333
-9819.0,-21.643665420170706
-9818.0,-22.071509337079885
-9817.0,-21.689829395008278
-9816.0,-22.45100654632843
